,Clusters
0,4
1,0
2,0
3,0
4,3
5,4
6,1
7,4
8,4
9,0
10,0
11,4
12,4
13,4
14,4
15,4
16,1
17,0
18,4
19,4
20,1
21,4
22,4
23,0
24,4
25,4
26,2
27,4
28,4
29,4
30,1
31,0
32,4
33,4
34,1
35,4
36,2
37,0
38,2
39,4
40,4
41,0
42,4
43,1
44,4
45,4
46,4
47,4
48,1
49,4
50,1
51,1
52,4
53,0
54,4
55,4
56,2
57,0
58,1
59,0
60,4
61,0
62,4
63,1
64,4
65,1
66,2
67,0
68,0
69,4
70,4
71,0
72,4
73,1
74,1
75,4
76,4
77,1
78,1
79,4
80,1
81,3
82,4
83,0
84,4
85,0
86,0
87,1
88,4
89,0
90,1
91,4
92,4
93,0
94,1
95,1
96,0
97,4
98,4
99,2
100,0
101,3
102,4
103,1
104,4
105,1
106,1
107,0
108,0
109,2
110,4
111,2
112,4
113,0
114,1
115,2
116,4
117,1
118,4
119,4
120,2
121,4
122,1
123,4
124,4
125,1
126,1
127,4
128,4
129,4
130,3
131,0
132,0
133,4
134,1
135,4
136,4
137,0
138,4
139,0
140,2
141,4
142,1
143,1
144,1
145,0
146,4
147,2
148,0
149,0
150,2
151,4
152,0
153,4
154,4
155,0
156,4
157,4
158,4
159,1
160,0
161,4
162,2
163,0
164,0
165,2
166,4
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,2
177,1
178,0
179,3
180,4
181,4
182,1
183,1
184,2
185,4
186,0
187,0
188,4
189,2
190,4
191,1
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,0
200,0
201,0
202,0
203,1
204,3
205,1
206,1
207,1
208,0
209,4
210,4
211,1
212,4
213,1
214,0
215,4
216,1
217,4
218,4
219,0
220,4
221,1
222,4
223,4
224,2
225,4
226,4
227,1
228,4
229,4
230,0
231,2
232,4
233,4
234,0
235,4
236,1
237,1
238,1
239,1
240,4
241,1
242,4
243,1
244,4
245,4
246,1
247,0
248,4
249,3
250,0
251,1
252,1
253,1
254,0
255,0
256,4
257,0
258,2
259,0
260,0
261,0
262,4
263,3
264,1
265,4
266,1
267,0
268,4
269,4
